</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!198	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!194
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!168	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!169
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!204	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!11
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!240	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!17
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!351	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!91
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!556	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!11
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!569	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!11
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!673	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!674
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!802	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!803
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!1008	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!11
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!51	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!52
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!60	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!61
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!454	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!455
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!459	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!460
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!464	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!11
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!595	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!31
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!2274	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!11
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!5478	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!30
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!5529	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!580
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!9221	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!17
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!9228	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!9207
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!9690	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!9691
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!11772	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!11
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!11944	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!11945
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!12061	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!12062
