</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!168	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!202
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!198	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!200
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!204	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!206
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!240	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!242
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!351	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!353
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!556	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!202
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!569	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!571
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!673	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!202
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!802	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!202
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!1008	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!242
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!51	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!58
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!60	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!71
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!454	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!457
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!459	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!353
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!464	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!466
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!595	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!597
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!2274	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!2276
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!5478	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!5480
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!5529	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!202
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!9221	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!9223
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!9228	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!242
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!9690	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!202
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!11772	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!11774
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!11944	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!202
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!12061	0	</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!202
