</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!202	1
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!200	3
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!206	-1
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!242	4
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!353	8
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!571	20
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!58	7
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!71	14
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!457	9
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!466	256
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!597	47
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!2276	21
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!5480	10
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!9223	2
</home/chrzissis/cclyzer-souffle/tests/coreutils-8.24/chown.bc>:!11774	51
